City ID,City,Country,Max Temp,Lat,Lng,Weather,Hotel Name
2,Torbay,CA,23.58,47.6666,-52.7314,few clouds,Gallows Cove
8,Yar-Sale,RU,22.33,66.8333,70.8333,light snow,Yalemd
43,Svetlogorsk,BY,29.41,52.6333,29.7333,few clouds,Hotel Svetlogorsk JBIK
45,Vadso,NO,26.76,70.0744,29.7487,clear sky,Scandic Vadsø
70,Usinsk,RU,19.92,65.9939,57.5281,overcast clouds,Dobro Pozhalovaty
107,Grindavik,IS,28.87,63.8424,-22.4338,light snow,Northern Light Inn & Max's Restaurant
148,Vardo,NO,29.14,70.3705,31.1107,clear sky,Vardø Hotel AS
152,Leh,IN,26.44,34.1667,77.5833,few clouds,Hotel Ladakh Greens
157,Abagur,RU,24.22,53.7308,87.2526,light snow,Relax Deep Hotel
195,Boden,SE,24.8,65.8252,21.6886,few clouds,Quality Hotel Bodensia
231,Mandalgovi,MN,21.27,45.7625,106.2708,broken clouds,В.Ганбат
236,Wasilla,US,28.74,61.5814,-149.4394,overcast clouds,Alaska's Select Inn Wasilla
278,Kristiinankaupunki,FI,27.68,62.2743,21.376,scattered clouds,Hotel Alma
294,Iskateley,RU,22.84,67.6803,53.1512,overcast clouds,Hostel Agat
364,Umba,RU,21.2,66.6871,34.3429,overcast clouds,Cedar Grass Beloye More
371,Soldotna,US,26.96,60.4878,-151.0583,mist,Aspen Hotel Soldotna
379,Zeya,RU,27.43,53.75,127.2667,snow,Kapital Inn
403,Altay,CN,29.55,47.8667,88.1167,scattered clouds,Jinqiao Hotel
415,Shellbrook,CA,24.03,53.2168,-106.4011,light snow,Shellbrook Hotel
416,Haines Junction,CA,23.99,60.7522,-137.5108,light snow,Parkside Inn
422,Idritsa,RU,27.12,56.3316,28.8988,clear sky,Yasnyy Les
426,Yabrud,SY,28.33,33.9674,36.6574,clear sky,صالة افراح الاندلس
428,Sovetskiy,RU,19.09,61.3614,63.5842,scattered clouds,Apartment on Kievskaya 29
433,Erenhot,CN,26.33,43.6475,111.9767,overcast clouds,Erenhot Rurouni Youth Hostel
445,Leshukonskoye,RU,20.37,64.8989,45.7622,broken clouds,Pryalitsa Hostel
450,Kenai,US,27.03,60.5544,-151.2583,light snow,Aspen Extended Stay Suites
451,Husavik,IS,24.31,66.0449,-17.3389,broken clouds,Bjarnabúð
482,Skjervoy,NO,28.4,70.0311,20.9714,clear sky,Skjervøy fiskecamp AS
492,Zhezkazgan,KZ,19.38,47.8043,67.7144,few clouds,Hotel Zumrat
495,Maarianhamina,AX,28.26,60.0973,19.9348,clear sky,Park Alandia Hotel
515,Igrim,RU,19.27,63.1906,64.4162,overcast clouds,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
516,Milkovo,RU,18.28,54.7167,158.6167,scattered clouds,"Hotel ""Geologist"""
548,Ust-Kulom,RU,21.42,61.6864,53.6902,broken clouds,Ip Napalkov Vasiliy Dmitriyevich
577,Tazovskiy,RU,21.04,67.4667,78.7,overcast clouds,TazHostel
582,Harbour Breton,CA,21.54,47.4833,-55.7983,few clouds,Southern Port Hotel
589,Alberton,CA,24.71,46.8168,-64.0654,overcast clouds,La Petite France B&B
605,Pushkino,RU,21.49,56.0172,37.8667,clear sky,Mini Hotel Pushkino
606,Vyazma,RU,23.9,55.2104,34.2951,few clouds,«Континенталь» - гостинично-ресторанный комплекс
609,Bogorodskoye,RU,24.08,56.55,37.8833,clear sky,Sosnoviy Bor
613,Voznesenskoye,RU,18.77,54.89,42.7569,scattered clouds,"Gostinitsa Mup ""Vstrecha"""
622,Krasnovishersk,RU,18.95,60.4078,57.082,overcast clouds,Vishera hotel
632,Pokrovsk,UA,25.79,48.282,37.1758,few clouds,Druzhba
651,Baruun-Urt,MN,19.58,46.6806,113.2792,clear sky,Ахмадын амралт сувилал
653,Marfino,RU,26.85,55.7028,37.3822,clear sky,Nemchinovka-Park
660,Ayan,RU,18.09,56.45,138.1667,overcast clouds,Gostinitsa
669,Roros,NO,28.15,62.5747,11.3842,overcast clouds,Erzscheidergården
682,Berezayka,RU,27.07,57.9883,33.9036,clear sky,Ineshevskiy Plyazh
687,Matagami,CA,28.51,49.7502,-77.6328,light snow,Hôtel Matagami
