City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
0,Bethel,US,41.3712,-73.414,47.75,89,0,0.0,clear sky
1,Jalor,IN,25.35,72.6167,94.1,15,82,12.12,broken clouds
2,Torbay,CA,47.6666,-52.7314,23.58,65,20,27.63,few clouds
3,Hermanus,ZA,-34.4187,19.2345,64.44,79,20,8.23,few clouds
4,Vestmannaeyjar,IS,63.4427,-20.2734,33.89,71,100,30.27,snow
5,Zhaotong,CN,27.3167,103.7167,72.1,30,9,3.74,clear sky
6,Leningradskiy,RU,69.3833,178.4167,-12.42,93,3,3.47,clear sky
7,Pevek,RU,69.7008,170.3133,-15.92,99,36,2.68,scattered clouds
8,Yar-Sale,RU,66.8333,70.8333,22.33,95,100,14.79,light snow
9,Sitka,US,57.0531,-135.33,40.89,87,100,6.91,light rain
10,Alofi,NU,-19.0595,-169.9187,78.69,89,52,3.44,broken clouds
11,Albany,US,42.6001,-73.9662,38.37,92,97,3.65,overcast clouds
12,Cape Town,ZA,-33.9258,18.4232,68.11,69,20,21.85,few clouds
13,Mataura,NZ,-46.1927,168.8643,55.47,70,85,6.53,overcast clouds
14,Carutapera,BR,-1.195,-46.02,72.73,98,100,5.08,overcast clouds
15,Sabha,LY,27.0377,14.4283,49.03,36,0,14.36,clear sky
16,Hilo,US,19.7297,-155.09,74.25,96,100,5.75,moderate rain
17,Ancud,CL,-41.8697,-73.8203,57.22,94,17,5.44,few clouds
18,Kibala,TD,9.1104,18.3463,80.19,18,19,7.67,few clouds
19,Jaca,ES,42.569,-0.5499,43.12,81,100,1.9,overcast clouds
20,Ribeira Grande,PT,38.5167,-28.7,57.0,60,59,2.73,broken clouds
21,Atuona,PF,-9.8,-139.0333,78.71,71,51,12.75,broken clouds
22,Oussouye,SN,12.485,-16.5469,67.12,48,8,6.89,clear sky
23,Tura,IN,25.5198,90.2201,92.21,14,0,6.82,clear sky
24,Posevnaya,RU,54.3006,83.3297,12.76,81,100,6.71,overcast clouds
25,Puerto Penasco,MX,31.3167,-113.5333,65.91,49,11,5.55,few clouds
26,Payo,ID,-3.7508,103.6372,90.57,53,90,3.42,overcast clouds
27,Georgetown,MY,5.4112,100.3354,89.53,62,20,5.75,few clouds
28,Bredasdorp,ZA,-34.5322,20.0403,61.92,88,64,2.3,light rain
29,Thompson,CA,55.7435,-97.8558,-2.04,92,0,0.0,clear sky
30,Bubaque,GW,11.2833,-15.8333,75.83,67,38,10.09,scattered clouds
31,Vaini,TO,-21.2,-175.2,82.15,74,99,7.05,light rain
32,Egvekinot,RU,66.3167,-179.1667,-6.77,81,0,7.16,clear sky
33,Rikitea,PF,-23.1203,-134.9692,80.06,77,67,15.52,broken clouds
34,Sibolga,ID,1.7427,98.7792,86.59,67,100,5.5,overcast clouds
35,San Rafael,AR,-34.6177,-68.3301,69.69,40,7,2.91,clear sky
36,Vuktyl,RU,63.8567,57.3094,15.71,93,100,5.08,overcast clouds
