City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Arraial Do Cabo,-22.9661,-42.0278,76.21,91,99,19.01,BR,2022-03-09 07:19:08
1,Guerrero Negro,27.9769,-114.0611,58.89,58,0,16.67,MX,2022-03-09 07:19:08
2,Havre-Saint-Pierre,50.2334,-63.5986,17.6,73,0,18.41,CA,2022-03-09 07:19:09
3,Ixtapa,20.7,-105.2,68.23,88,1,1.97,MX,2022-03-09 07:19:10
4,Benghazi,32.1167,20.0667,57.04,60,54,18.61,LY,2022-03-09 07:19:10
5,Busselton,-33.65,115.3333,93.04,35,100,8.72,AU,2022-03-09 07:19:11
6,Punta Arenas,-53.15,-70.9167,44.71,76,75,4.61,CL,2022-03-09 07:19:11
7,Atuona,-9.8,-139.0333,78.69,80,22,16.6,PF,2022-03-09 07:19:12
8,Kahului,20.8947,-156.47,75.22,70,20,9.22,US,2022-03-09 07:19:12
9,Torbay,47.6666,-52.7314,29.57,72,75,43.73,CA,2022-03-09 07:19:13
10,Lorengau,-2.0226,147.2712,76.59,89,100,4.27,PG,2022-03-09 07:19:14
11,Sao Filipe,14.8961,-24.4956,69.69,69,100,13.6,CV,2022-03-09 07:19:14
12,Vaini,-21.2,-175.2,78.96,94,75,4.61,TO,2022-03-09 07:19:15
13,Chicama,-7.8447,-79.1469,68.54,73,100,3.53,PE,2022-03-09 07:19:15
14,Qaanaaq,77.484,-69.3632,-7.04,61,20,9.28,GL,2022-03-09 07:19:16
15,Ushuaia,-54.8,-68.3,42.46,87,100,23.02,AR,2022-03-09 07:18:58
16,Mataura,-46.1927,168.8643,61.48,77,100,3.78,NZ,2022-03-09 07:19:17
17,Butaritari,3.0707,172.7902,81.19,78,100,16.17,KI,2022-03-09 07:19:17
18,Kavaratti,10.5669,72.642,82.71,69,89,9.44,IN,2022-03-09 07:19:18
19,Hilo,19.7297,-155.09,71.11,88,0,4.61,US,2022-03-09 07:19:18
20,Castro,-24.7911,-50.0119,65.52,99,100,5.84,BR,2022-03-09 07:19:19
21,Hasaki,35.7333,140.8333,50.4,50,28,11.48,JP,2022-03-09 07:19:19
22,Carnarvon,-24.8667,113.6333,93.27,46,0,16.11,AU,2022-03-09 07:19:20
23,Severo-Kurilsk,50.6789,156.125,30.07,95,100,19.19,RU,2022-03-09 07:19:20
24,Port Elizabeth,-33.918,25.5701,76.1,73,0,13.8,ZA,2022-03-09 07:17:07
25,Klaksvik,62.2266,-6.589,41.92,92,100,36.95,FO,2022-03-09 07:19:21
26,Komsomolskiy,40.4272,71.7189,54.82,66,100,2.3,UZ,2022-03-09 07:19:22
27,Barrow,71.2906,-156.7887,-0.38,71,100,16.11,US,2022-03-09 07:17:57
28,Urucara,-2.5364,-57.76,72.68,99,100,1.03,BR,2022-03-09 07:19:22
29,Caranavi,-15.8167,-67.55,63.46,99,100,1.54,BO,2022-03-09 07:19:23
30,Paramonga,-10.6667,-77.8333,72.63,82,100,6.04,PE,2022-03-09 07:19:23
31,Aljezur,37.3191,-8.8033,50.72,89,0,2.57,PT,2022-03-09 07:19:24
32,Chokwe,-24.5333,32.9833,83.35,55,0,8.77,MZ,2022-03-09 07:19:24
33,Maceio,-9.6658,-35.7353,74.64,88,40,2.3,BR,2022-03-09 07:19:25
34,Biryusinsk,55.9634,97.8235,16.07,78,100,13.73,RU,2022-03-09 07:19:26
35,Atar,20.5169,-13.0499,63.03,19,60,5.79,MR,2022-03-09 07:19:26
36,Quatre Cocos,-20.2078,57.7625,85.08,76,51,7.65,MU,2022-03-09 07:19:27
37,Jamestown,42.097,-79.2353,30.72,56,0,3.44,US,2022-03-09 07:15:31
38,Peterhead,57.5058,-1.7981,43.2,88,100,30.98,GB,2022-03-09 07:19:28
39,Punta Gorda,26.9298,-82.0454,73.99,85,0,5.01,US,2022-03-09 07:19:28
40,Portland,45.5234,-122.6762,47.25,88,100,4.0,US,2022-03-09 07:15:03
41,Sobolevo,54.4299,31.8996,14.13,91,59,9.53,RU,2022-03-09 07:19:29
42,Iskateley,67.6803,53.1512,-3.23,96,81,4.18,RU,2022-03-09 07:19:30
43,Tigil,57.8,158.6667,33.15,69,100,18.97,RU,2022-03-09 07:19:30
44,Vostok,46.4856,135.8833,29.46,83,100,5.32,RU,2022-03-09 07:20:30
45,Cururupu,-1.8283,-44.8683,73.69,98,77,2.95,BR,2022-03-09 07:20:31
46,Hermanus,-34.4187,19.2345,76.8,72,3,1.3,ZA,2022-03-09 07:15:45
47,Upernavik,72.7868,-56.1549,-16.4,77,16,3.02,GL,2022-03-09 07:20:32
48,Faanui,-16.4833,-151.75,81.54,73,100,12.91,PF,2022-03-09 07:20:32
49,Kodiak,57.79,-152.4072,40.51,93,100,8.05,US,2022-03-09 07:20:33
50,Yar-Sale,66.8333,70.8333,-14.42,94,76,11.5,RU,2022-03-09 07:20:33
51,Lebu,-37.6167,-73.65,55.42,77,100,13.69,CL,2022-03-09 07:16:03
52,Taree,-31.9,152.4667,75.06,73,40,8.05,AU,2022-03-09 07:20:34
53,Cabo San Lucas,22.8909,-109.9124,65.52,70,100,4.14,MX,2022-03-09 07:19:18
54,Hithadhoo,-0.6,73.0833,83.37,65,100,7.31,MV,2022-03-09 07:20:35
55,Corrientes,-27.4806,-58.8341,73.36,97,0,4.61,AR,2022-03-09 07:18:25
56,Hobart,-42.8794,147.3294,63.23,60,40,13.8,AU,2022-03-09 07:17:48
57,Mmabatho,-25.85,25.6333,66.16,82,75,12.66,ZA,2022-03-09 07:20:36
58,Queimadas,-10.9783,-39.6264,70.12,94,97,4.47,BR,2022-03-09 07:20:37
59,Puerto Ayora,-0.7393,-90.3518,73.54,99,14,1.01,EC,2022-03-09 07:20:37
60,Bluff,-46.6,168.3333,61.81,87,100,12.82,NZ,2022-03-09 07:20:38
61,Longyearbyen,78.2186,15.6401,28.24,86,100,16.11,SJ,2022-03-09 07:19:16
62,Denpasar,-8.65,115.2167,89.26,70,40,4.61,ID,2022-03-09 07:20:16
63,Maryborough,-25.5333,152.7,78.01,92,87,8.79,AU,2022-03-09 07:20:39
64,Manoharpur,27.3,75.95,85.15,23,6,5.84,IN,2022-03-09 07:20:39
65,Tres Arroyos,-38.3739,-60.2798,65.05,54,39,13.0,AR,2022-03-09 07:20:40
66,Fairbanks,64.8378,-147.7164,24.76,69,100,0.0,US,2022-03-09 07:20:03
67,San Jose,37.3394,-121.895,55.35,58,0,4.61,US,2022-03-09 07:16:43
68,Dole,47.0833,5.5,42.12,79,1,4.61,FR,2022-03-09 07:20:41
69,Dikson,73.5069,80.5464,-20.22,98,67,4.88,RU,2022-03-09 07:16:41
70,Bengkulu,-3.8004,102.2655,85.39,62,93,5.01,ID,2022-03-09 07:20:42
71,Clyde River,70.4692,-68.5914,-7.37,77,100,20.71,CA,2022-03-09 07:20:42
72,Lewisporte,49.2499,-55.0482,26.31,72,100,21.94,CA,2022-03-09 07:20:43
